Modelo,Accuracy,Precision,Recall,F1 Score,ROC AUC
RandForest 200,0.9954545454545456,0.9956709956709956,0.9954545454545456,0.995451702768776,0.9999945887445888
RandForest 100,0.9954545454545456,0.9956709956709956,0.9954545454545456,0.995451702768776,1.0
RandForest 150,0.9954545454545456,0.9956709956709956,0.9954545454545456,0.995451702768776,1.0
RandForest 50,0.9954545454545456,0.9956709956709956,0.9954545454545456,0.995451702768776,1.0
ExtraTrees 50,0.9954545454545456,0.9956709956709956,0.9954545454545456,0.995451702768776,0.9999756493506492
